Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-14 15:18:46,0.16911,38.92379,4.13379,34.79000
2024-01-14 15:18:47,0.16320,39.29684,4.00684,35.29000
2024-01-14 15:18:48,0.22701,32.03164,3.68164,28.35000
2024-01-14 15:18:49,0.17180,32.25211,3.41211,28.84000
2024-01-14 15:18:50,0.16895,20.93723,3.15723,17.78000
2024-01-14 15:18:51,0.17698,20.29676,2.67676,17.62000
2024-01-14 15:18:52,0.17328,19.90547,2.60547,17.30000
2024-01-14 15:18:53,0.17705,17.77281,2.63281,15.14000
2024-01-14 15:18:54,0.16838,17.98344,2.52344,15.46000
2024-01-14 15:18:55,0.20747,17.66051,2.52051,15.14000
2024-01-14 15:18:56,0.15909,17.99199,2.54199,15.45000
2024-01-14 15:18:57,0.13253,18.47297,2.54297,15.93000
2024-01-14 15:18:58,0.14343,18.68570,2.59570,16.09000
2024-01-14 15:18:59,0.15758,17.34660,2.51660,14.83000
2024-01-14 15:19:00,0.16012,19.00766,2.59766,16.41000
2024-01-14 15:19:01,0.13918,17.05785,2.54785,14.51000
2024-01-14 15:19:02,0.14128,18.77051,2.52051,16.25000
2024-01-14 15:19:03,0.13213,17.47062,2.64063,14.83000
2024-01-14 15:19:04,0.13235,18.02152,2.56152,15.46000
2024-01-14 15:19:05,0.15341,17.32586,2.50586,14.82000
2024-01-14 15:19:07,0.15019,17.96488,2.50488,15.46000
2024-01-14 15:19:08,0.13722,16.46789,2.58789,13.88000
2024-01-14 15:19:09,0.13070,19.08637,2.52637,16.56000
2024-01-14 15:19:10,0.19165,18.12621,2.86621,15.26000
2024-01-14 15:19:11,0.14761,16.92496,2.58496,14.34000
2024-01-14 15:19:12,0.15589,18.36668,2.59668,15.77000
2024-01-14 15:19:13,0.13881,18.51203,2.58203,15.93000
2024-01-14 15:19:14,0.13249,17.31723,2.65723,14.66000
2024-01-14 15:19:15,0.15625,20.18043,2.69043,17.49000
2024-01-14 15:19:16,0.14585,16.24945,2.68945,13.56000
2024-01-14 15:19:17,0.14668,16.79449,2.60449,14.19000
2024-01-14 15:19:18,0.13951,19.00375,2.59375,16.41000
2024-01-14 15:19:19,0.14909,18.12137,2.65137,15.47000
2024-01-14 15:19:20,0.15122,19.29105,2.58105,16.71000
2024-01-14 15:19:21,0.13363,19.06406,2.66406,16.40000
2024-01-14 15:19:22,0.15157,17.59719,2.61719,14.98000
2024-01-14 15:19:23,0.14299,16.61031,2.57031,14.04000
2024-01-14 15:19:24,0.14802,17.23859,2.55859,14.68000
2024-01-14 15:19:25,0.15170,18.98887,2.58887,16.40000
2024-01-14 15:19:26,0.14690,18.26527,2.65527,15.61000
2024-01-14 15:19:27,0.16667,19.11680,2.71680,16.40000
2024-01-14 15:19:28,0.15808,17.12547,2.60547,14.52000
2024-01-14 15:19:29,0.14777,19.10199,2.54199,16.56000
2024-01-14 15:19:30,0.14623,17.31355,2.64355,14.67000
2024-01-14 15:19:31,0.15326,16.19844,2.64844,13.55000
2024-01-14 15:19:33,0.17137,17.55836,2.56836,14.99000
2024-01-14 15:19:34,0.18825,19.89469,2.55469,17.34000
2024-01-14 15:19:35,0.15653,18.23500,2.62500,15.61000
2024-01-14 15:19:36,0.18637,17.14012,2.62012,14.52000
2024-01-14 15:19:37,0.17436,17.32383,2.67383,14.65000
2024-01-14 15:19:38,0.22383,18.88500,2.62500,16.26000
2024-01-14 15:19:40,0.19504,16.64109,2.62109,14.02000
2024-01-14 15:19:41,0.16205,18.33543,2.56543,15.77000
2024-01-14 15:19:42,0.15353,18.16785,2.54785,15.62000
2024-01-14 15:19:43,0.20091,18.41476,2.63477,15.78000
2024-01-14 15:19:44,0.16407,17.56008,2.58008,14.98000
2024-01-14 15:19:45,0.13745,18.15910,2.57910,15.58000
2024-01-14 15:19:46,0.15587,18.63133,2.86133,15.77000
2024-01-14 15:19:47,0.15718,18.99398,2.58398,16.41000
2024-01-14 15:19:48,0.12477,16.39383,2.67383,13.72000
2024-01-14 15:19:49,0.13408,19.03891,2.62891,16.41000
2024-01-14 15:19:50,0.13100,15.62980,2.54980,13.08000
2024-01-14 15:19:51,0.13235,17.41105,2.58105,14.83000
2024-01-14 15:19:52,0.13879,18.97641,2.56641,16.41000
2024-01-14 15:19:53,0.15308,18.54937,2.60938,15.94000
2024-01-14 15:19:54,0.13500,18.25672,2.63672,15.62000
2024-01-14 15:19:55,0.13017,18.71379,2.63379,16.08000
2024-01-14 15:19:56,0.14385,17.56594,2.58594,14.98000
2024-01-14 15:19:57,0.14621,19.03250,2.81250,16.22000
2024-01-14 15:19:58,0.14043,17.12523,2.61523,14.51000
2024-01-14 15:19:59,0.13470,18.24184,2.63184,15.61000
2024-01-14 15:20:00,0.13180,16.57238,2.69238,13.88000
2024-01-14 15:20:01,0.13356,15.95566,2.55566,13.40000
2024-01-14 15:20:02,0.13047,16.61520,2.57520,14.04000
2024-01-14 15:20:03,0.14505,16.30106,2.58105,13.72000
2024-01-14 15:20:04,0.13103,18.66789,2.58789,16.08000
2024-01-14 15:20:05,0.13601,22.16332,2.65332,19.51000
2024-01-14 15:20:07,0.13144,20.27820,2.65820,17.62000
2024-01-14 15:20:08,0.13573,20.10625,2.65625,17.45000
2024-01-14 15:20:09,0.14445,20.83340,2.73340,18.10000
2024-01-14 15:20:10,0.13656,21.56629,2.69629,18.87000
2024-01-14 15:20:11,0.13870,21.87285,2.67285,19.20000
2024-01-14 15:20:12,0.13894,21.28094,2.71094,18.57000
2024-01-14 15:20:13,0.13758,21.79707,2.74707,19.05000
2024-01-14 15:20:14,0.14643,22.04434,2.69434,19.35000
2024-01-14 15:20:15,0.14600,20.30141,2.69141,17.61000
2024-01-14 15:20:16,0.13986,20.24672,2.63672,17.61000
2024-01-14 15:20:17,0.16289,20.60504,2.66504,17.94000
2024-01-14 15:20:18,0.19907,21.42824,2.69824,18.73000
2024-01-14 15:20:19,0.18650,22.65113,2.66113,19.99000
2024-01-14 15:20:20,0.15996,20.45164,2.68164,17.77000
2024-01-14 15:20:21,0.14770,18.89508,2.70508,16.19000
2024-01-14 15:20:22,0.16405,21.43898,2.70898,18.73000
2024-01-14 15:20:24,0.20250,22.14965,2.63965,19.51000
2024-01-14 15:20:25,0.17401,21.42898,2.70898,18.72000
2024-01-14 15:20:26,0.15134,21.56480,2.67480,18.89000
2024-01-14 15:20:27,0.16541,21.07602,2.66602,18.41000
2024-01-14 15:20:28,0.15232,22.00625,2.65625,19.35000
2024-01-14 15:20:29,0.15000,20.14727,2.69727,17.45000
2024-01-14 15:20:30,0.13989,21.89727,2.69727,19.20000
2024-01-14 15:20:31,0.13219,19.51750,2.68750,16.83000
2024-01-14 15:20:32,0.15115,20.62336,2.69336,17.93000
2024-01-14 15:20:33,0.13918,21.99356,2.64355,19.35000
2024-01-14 15:20:34,0.13906,21.49891,2.62891,18.87000
2024-01-14 15:20:35,0.14164,17.52652,2.68652,14.84000
2024-01-14 15:20:36,0.15385,17.57766,2.59766,14.98000
2024-01-14 15:20:37,0.14410,17.04516,2.53516,14.51000
2024-01-14 15:20:38,0.13137,16.46375,2.59375,13.87000
2024-01-14 15:20:39,0.12543,16.94984,2.58984,14.36000
2024-01-14 15:20:40,0.13534,18.22840,2.60840,15.62000
2024-01-14 15:20:41,0.12318,16.33402,2.62402,13.71000
2024-01-14 15:20:43,0.13183,16.66793,2.62793,14.04000
2024-01-14 15:20:44,0.13877,18.84789,2.58789,16.26000
