Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-19 18:18:36,0.16916,46.92250,4.56250,42.36000
2024-01-19 18:18:37,0.15774,47.16992,4.66992,42.50000
2024-01-19 18:18:38,0.15370,39.45750,4.18750,35.27000
2024-01-19 18:18:39,0.13843,39.57265,3.97266,35.60000
2024-01-19 18:18:40,0.13184,32.62141,3.94141,28.68000
2024-01-19 18:18:41,0.14377,32.35930,3.52930,28.83000
2024-01-19 18:18:42,0.15157,32.67781,3.50781,29.17000
2024-01-19 18:18:43,0.15377,23.26133,3.11133,20.15000
2024-01-19 18:18:44,0.14430,23.09906,2.78906,20.31000
2024-01-19 18:18:45,0.14798,22.82227,2.82227,20.00000
2024-01-19 18:18:46,0.13183,45.68398,4.08398,41.60000
2024-01-19 18:18:47,0.12836,46.65508,4.45508,42.20000
2024-01-19 18:18:48,0.14594,46.37898,4.45898,41.92000
2024-01-19 18:18:50,0.14804,46.19313,4.45313,41.74000
2024-01-19 18:18:51,0.14610,46.33531,4.44531,41.89000
2024-01-19 18:18:52,0.13474,46.50117,4.45117,42.05000
2024-01-19 18:18:53,0.13657,46.44344,4.52344,41.92000
2024-01-19 18:18:54,0.14221,47.14047,4.48047,42.66000
2024-01-19 18:18:55,0.13188,46.80578,4.42578,42.38000
2024-01-19 18:18:56,0.12175,46.15336,4.44336,41.71000
2024-01-19 18:18:57,0.13568,47.61680,4.46680,43.15000
2024-01-19 18:18:58,0.14861,47.13313,4.45313,42.68000
2024-01-19 18:18:59,0.14658,46.90102,4.54102,42.36000
2024-01-19 18:19:00,0.20300,47.61336,4.44336,43.17000
2024-01-19 18:19:01,0.15010,47.45289,4.46289,42.99000
2024-01-19 18:19:02,0.13458,46.62578,4.42578,42.20000
2024-01-19 18:19:03,0.12729,46.36726,4.44727,41.92000
2024-01-19 18:19:04,0.12995,46.95797,4.41797,42.54000
2024-01-19 18:19:05,0.12980,46.85875,4.46875,42.39000
2024-01-19 18:19:06,0.12788,47.12141,4.44141,42.68000
2024-01-19 18:19:07,0.13456,47.19390,4.50391,42.69000
2024-01-19 18:19:08,0.13572,46.20531,4.44531,41.76000
2024-01-19 18:19:09,0.13889,46.36336,4.44336,41.92000
2024-01-19 18:19:10,0.13423,46.19117,4.45117,41.74000
2024-01-19 18:19:11,0.12805,46.51117,4.45117,42.06000
2024-01-19 18:19:12,0.14500,46.84508,4.45508,42.39000
2024-01-19 18:19:14,0.14526,46.68289,4.46289,42.22000
2024-01-19 18:19:15,0.14182,46.20485,4.46484,41.74000
2024-01-19 18:19:16,0.14847,47.25023,4.49023,42.76000
2024-01-19 18:19:17,0.14795,46.52609,4.49609,42.03000
2024-01-19 18:19:18,0.11952,46.37117,4.45117,41.92000
2024-01-19 18:19:19,0.13351,46.37242,4.48242,41.89000
2024-01-19 18:19:20,0.18439,47.40836,4.56836,42.84000
2024-01-19 18:19:21,0.13991,47.54078,4.55078,42.99000
2024-01-19 18:19:22,0.14137,47.80610,4.49609,43.31000
2024-01-19 18:19:23,0.14234,46.38633,4.48633,41.90000
2024-01-19 18:19:24,0.13828,47.16828,4.48828,42.68000
2024-01-19 18:19:25,0.12939,46.81898,4.45898,42.36000
2024-01-19 18:19:26,0.13814,47.19195,4.50195,42.69000
2024-01-19 18:19:27,0.13541,46.94375,4.59375,42.35000
2024-01-19 18:19:28,0.16613,46.88781,4.50781,42.38000
2024-01-19 18:19:29,0.17988,39.14219,3.99219,35.15000
2024-01-19 18:19:30,0.14146,38.65047,3.98047,34.67000
2024-01-19 18:19:31,0.14829,32.80102,3.79102,29.01000
2024-01-19 18:19:32,0.16033,32.30039,3.65039,28.65000
2024-01-19 18:19:34,0.13555,32.30875,3.46875,28.84000
2024-01-19 18:19:35,0.13414,23.52625,2.90625,20.62000
2024-01-19 18:19:36,0.14883,23.59055,2.81055,20.78000
2024-01-19 18:19:37,0.16739,45.05133,2.86133,42.19000
2024-01-19 18:19:38,0.15488,46.69414,4.49414,42.20000
2024-01-19 18:19:39,0.14366,47.77680,4.46680,43.31000
2024-01-19 18:19:40,0.14436,47.46656,4.47656,42.99000
2024-01-19 18:19:41,0.14822,47.63023,4.49023,43.14000
2024-01-19 18:19:42,0.14286,46.54047,4.48047,42.06000
2024-01-19 18:19:43,0.13874,47.22688,4.54688,42.68000
2024-01-19 18:19:44,0.13296,46.38047,4.48047,41.90000
2024-01-19 18:19:45,0.14867,46.85219,4.49219,42.36000
2024-01-19 18:19:46,0.14466,46.36289,4.46289,41.90000
2024-01-19 18:19:47,0.14329,47.81242,4.48242,43.33000
2024-01-19 18:19:48,0.12930,46.61836,4.56836,42.05000
2024-01-19 18:19:49,0.13929,47.51195,4.50195,43.01000
2024-01-19 18:19:50,0.14335,46.66875,4.46875,42.20000
2024-01-19 18:19:51,0.13810,46.82094,4.46094,42.36000
2024-01-19 18:19:52,0.14960,46.97266,4.47266,42.50000
2024-01-19 18:19:53,0.13799,46.55414,4.49414,42.06000
2024-01-19 18:19:54,0.17620,46.85859,4.55859,42.30000
2024-01-19 18:19:55,0.14409,46.38289,4.46289,41.92000
2024-01-19 18:19:56,0.14339,46.89758,4.51758,42.38000
2024-01-19 18:19:57,0.14855,47.14117,4.45117,42.69000
2024-01-19 18:19:58,0.14808,46.35703,4.45703,41.90000
2024-01-19 18:20:00,0.15361,46.66094,4.46094,42.20000
2024-01-19 18:20:01,0.14300,46.99117,4.45117,42.54000
2024-01-19 18:20:02,0.14987,46.38438,4.48438,41.90000
2024-01-19 18:20:03,0.15080,47.05367,4.51367,42.54000
2024-01-19 18:20:04,0.13305,46.18141,4.44141,41.74000
2024-01-19 18:20:05,0.13970,46.98531,4.44531,42.54000
2024-01-19 18:20:06,0.13372,46.33875,4.46875,41.87000
2024-01-19 18:20:07,0.14512,47.62703,4.45703,43.17000
2024-01-19 18:20:08,0.14114,46.17922,4.44922,41.73000
2024-01-19 18:20:09,0.14623,47.81047,4.48047,43.33000
2024-01-19 18:20:10,0.13310,46.65117,4.45117,42.20000
2024-01-19 18:20:11,0.13292,46.54094,4.46094,42.08000
2024-01-19 18:20:12,0.15444,47.15609,4.49609,42.66000
2024-01-19 18:20:13,0.14205,46.69656,4.47656,42.22000
2024-01-19 18:20:14,0.13809,47.14875,4.46875,42.68000
2024-01-19 18:20:15,0.14355,47.32633,4.48633,42.84000
2024-01-19 18:20:16,0.14431,46.88195,4.50195,42.38000
2024-01-19 18:20:17,0.14360,46.45578,4.42578,42.03000
2024-01-19 18:20:18,0.13472,46.54680,4.46680,42.08000
2024-01-19 18:20:19,0.16164,46.81555,4.43555,42.38000
2024-01-19 18:20:21,0.17221,38.95703,3.95703,35.00000
2024-01-19 18:20:22,0.14723,39.87289,3.96289,35.91000
2024-01-19 18:20:23,0.13660,32.02750,3.68750,28.34000
2024-01-19 18:20:24,0.13059,32.00266,3.47266,28.53000
2024-01-19 18:20:25,0.13753,23.32031,3.32031,20.00000
2024-01-19 18:20:26,0.17602,23.60508,3.20508,20.40000
2024-01-19 18:20:27,0.16168,23.94281,3.63281,20.31000
2024-01-19 18:20:28,0.16521,45.02953,3.51953,41.51000
2024-01-19 18:20:29,0.14035,46.32914,4.61914,41.71000
2024-01-19 18:20:30,0.14583,46.55219,4.49219,42.06000
2024-01-19 18:20:31,0.13247,46.22023,4.49023,41.73000
2024-01-19 18:20:32,0.14160,47.77485,4.46484,43.31000
2024-01-19 18:20:33,0.13869,46.52289,4.46289,42.06000
2024-01-19 18:20:34,0.13514,47.33242,4.48242,42.85000
2024-01-19 18:20:35,0.13853,47.44313,4.45313,42.99000
